,User_name,User_location,User_verified,RT_count,Likes,Created_at,Tweets,Hashtags
14,@WHO,"Geneva, Switzerland",True,1290,2154,2022-01-06 19:04:29+00:00,"""While Omicron does appear to be less severe compared to Delta, especially in those vaccinated, it does not mean it should be categorized as ‘mild’.
Just like previous [#COVID19] variants; Omicron is hospitalizing people and it is killing people."" says @DrTedros. https://t.co/7QZxMSvZ6q",['COVID19']
15,@WHO,"Geneva, Switzerland",True,39,126,2022-01-06 16:49:06+00:00,"Full speech of @DrTedros' opening remarks at the media briefing on #COVID19 - 06.01.2022
https://t.co/qn6vM0FEbd",['COVID19']
16,@WHO,"Geneva, Switzerland",True,33,182,2022-01-06 15:35:51+00:00,"""And to those celebrating Orthodox Christmas tomorrow, may your homes be filled with peace, happiness and good health.""-@DrTedros",
17,@WHO,"Geneva, Switzerland",True,41,117,2022-01-06 15:35:03+00:00,"""To build trust and save lives, a good starting point is to ensure humanitarian and health corridors are open in all conflict zones so international agencies and civil society groups can do what they do best – save lives.""-@DrTedros",
18,@WHO,"Geneva, Switzerland",True,33,92,2022-01-06 15:34:24+00:00,"""At the top, I spoke of how the New Year is a time to renew. 

I urge all leaders and key stakeholders in conflict to remember that those who work for peace are the heroes history remembers. 

We need health for peace and peace for health.""-@DrTedros",
19,@WHO,"Geneva, Switzerland",True,176,198,2022-01-06 15:33:32+00:00,"""Even in the toughest periods of conflict in Syria, South Sudan, Yemen and others, WHO and partners have had access to save lives. 

However, in Tigray the defacto blockade is preventing access to humanitarian supplies, which is killing people.""-@DrTedros",
20,@WHO,"Geneva, Switzerland",True,510,390,2022-01-06 15:32:55+00:00,"""In Tigray, WHO has not been permitted to deliver medical supplies since mid-July of last year. 

This is despite repeated requests from WHO to provide medical supplies to the Tigray region, which would help meet some of the humanitarian and health needs in Tigray.""-@DrTedros",
21,@WHO,"Geneva, Switzerland",True,48,103,2022-01-06 15:32:01+00:00,"""In #Ethiopia, WHO was able to dispatch 14 metric tonnes of medical supplies to Afar and 70 metric tonnes to Amhara in December.""-@DrTedros 
https://t.co/SobtwSCMej",['Ethiopia']
22,@WHO,"Geneva, Switzerland",True,34,126,2022-01-06 15:31:03+00:00,"""But as of December, over 2,300 health facilities had received new supplies and 25,000 health workers have been paid ensuring the functionality of 96% of the health system through a joint WHO-@UNICEF effort.""-@DrTedros 
https://t.co/Rkr0g8jAb1",
23,@WHO,"Geneva, Switzerland",True,17,52,2022-01-06 15:29:45+00:00,"""For example, in #Afghanistan, until recently, over three quarters of health facilities reported stock-outs of essential medicines and there was a threat to sustaining health workers in their posts.""-@DrTedros",['Afghanistan']
